date,temperature_f,weekend,bike_trips
2025-06-01,57.6,1,5191
2025-06-02,60.9,0,6608
2025-06-03,63.7,0,7533
2025-06-04,70.3,0,7773
2025-06-05,74.8,0,7620
2025-06-06,72.8,0,7199
2025-06-07,64.2,1,3348
2025-06-08,63.4,1,6421
2025-06-09,58.2,0,5582
2025-06-10,56.9,0,5948
2025-06-11,69.7,0,8182
2025-06-12,76.6,0,7882
2025-06-13,67.5,0,7692
2025-06-14,59.1,1,4397
2025-06-15,58.5,1,5695
2025-06-16,59.6,0,6867
2025-06-17,62.7,0,6272
2025-06-18,68.9,0,7591
2025-06-19,77.2,0,6240
2025-06-20,76.6,0,7106
2025-06-21,73.5,1,6331
2025-06-22,78.8,1,5265
2025-06-23,81.3,0,6803
2025-06-24,89.1,0,6250
2025-06-25,87.8,0,7176
2025-06-26,72.0,0,7616
2025-06-27,64.8,0,8222
2025-06-28,63.1,1,5125
2025-06-29,66.9,1,6437
2025-06-30,72.8,0,7150
