temperature_f,weekend,rain,cups_sold
89,0,0,71
62,0,0,39
56,0,0,24
81,0,0,67
69,0,0,45
74,1,0,67
58,1,0,49
70,0,0,47
81,0,0,66
69,0,0,40
89,0,0,60
87,0,1,45
83,1,0,77
92,1,0,92
84,0,0,72
62,0,0,28
90,0,0,76
81,0,0,65
59,0,0,32
67,1,0,64
61,1,0,48
94,0,0,74
84,0,1,45
92,0,0,79
66,0,0,47
81,0,0,61
79,1,0,82
85,1,1,57
59,0,0,25
76,0,0,43
81,0,1,30
88,0,0,73
81,0,0,53
73,1,0,64
73,1,0,77
68,0,0,46
61,0,0,42
66,0,0,35
60,0,0,20
64,0,0,45
90,1,1,58
76,1,0,70
58,0,1,12
72,0,0,43
66,0,0,48
82,0,0,69
89,0,0,74
55,1,1,18
74,1,1,44
73,0,0,44
95,0,0,78
69,0,0,43
61,0,0,29
63,0,0,40
74,1,0,60
79,1,1,48
68,0,0,31
72,0,0,50
82,0,0,65
67,0,0,44
94,0,0,92
63,1,0,58
93,1,0,88
90,0,0,85
94,0,0,72
87,0,1,48
76,0,0,57
79,0,0,53
63,1,0,60
69,1,1,39
73,0,0,52
93,0,0,73
